"الثانية","المشهد","الحدث","المؤثر الصوتي المقترح","كلمة البحث (Epidemic / Artlist / Freesound)","ملاحظة / المستوى"
"0.00","—","بداية المسار الموسيقي (طبقة الأساس)","Upbeat corporate / tech bed ~124 BPM","upbeat corporate tech | modern minimal groove | positive startup","يبدأ هادئًا ثم ينفتح عند الشعار"
"0.30","s1","رنين واهتزاز الهاتف (ليل)","Phone vibrate / buzz (loop خفيف)","phone vibrate buzz | smartphone ring muffled","منخفض — جو توتر"
"1.15","s1","اهتزاز البطاقة (shake)","UI negative shake","ui shake negative | error subtle","منخفض"
"1.50","s1","عدّاد الرسائل الفائتة يصعد","نقرات إشعار متتابعة","notification pop multiple | message blips","حتى ~4.3 ثم يتوقف"
"4.35","s1 ← s2","ووش الانتقال للشعار (الأقوى)","Whoosh transition (ابدأه ~0.15s قبل القطع)","whoosh transition fast | cinematic swoosh","ذروته تتزامن مع منتصف الانتقال"
"4.50","s2","صعود توهّجي للدائرة الخضراء","Riser + sparkle reveal","riser swoosh | magic sparkle reveal","صاعد ينفجر"
"5.20","s2","ظهور شعار مَرمى","Impact + logo sting","cinematic impact boom | brand logo hit","اخفض الموسيقى -3dB لحظتها (duck)"
"7.85","s2 ← s3","ووش انتقال (Whip)","Whoosh swipe قصير","whoosh swipe short | fast swish","نوّع نبرته عن سابقه"
"8.70","s3","كتابة رابط الحجز","نقرات كيبورد خفيفة","keyboard typing soft | mechanical key clicks","حتى ~10.5"
"11.90","s3","نقرة اختيار الموعد","UI tap","ui click tap","واضحة"
"12.15","s3","تأكيد اختيار الموعد","Pop إيجابي","pop select positive","قصيرة"
"12.60","s3","ضغط زر التأكيد","UI click حاد","ui click crisp","قصيرة"
"13.00","s3","علامة النجاح ✓","Success chime","success chime short | checkmark ding","مبهجة"
"14.35","s3 ← s4","ووش انتقال جانبي","Whoosh swish (جانبي)","whoosh swipe side | transition swish","اتجاه أفقي"
"15.40","s4","دخول البطاقة الأولى","Swipe in ناعم","swipe in soft | card slide","خفيف"
"16.00","s4","محاولة حجز ثانية (ارتداد)","Bounce / rubber","bounce attempt | rubber boing soft","متابعة لحركة الارتداد"
"16.85","s4","رفض الحجز المزدوج","Buzz رفض","denied buzz soft | error access","منخفض لا حاد"
"17.00","s4","ظهور الدرع (الحماية)","Shield pop + whoosh","shield pop whoosh | protect appear","إيجابي طمأنينة"
"17.30","s4","ختم «مرفوض»","Stamp / thud","error stamp | reject thud","قصيرة"
"19.85","s4 ← s5","ووش انتقال صاعد","Whoosh up","whoosh up | swipe rise","صاعد"
"21.30","s5","ظهور إشعار +200 (لحظة مفتاحية)","Cash register / coin ding","cash register kaching | coin notification","ارفعه +2dB عن البقية"
"21.70","s5","عدّاد المبلغ يصعد إلى 200","Counter tick","counter tick ui | number count up","يتوقف بنقرة عند 200"
"24.50","s5 ← s6","انطلاق الرقم الطائر (Match Cut)","Coin swoosh صاعد النغمة","coin swoosh ascending | money fly rise","ابدأه ~0.15s قبل 24.65"
"26.05","s6","هبوط الرقم على 3450 (ذروة)","Land impact + ding ثري","coin land impact | cash success ding","لحظة الذروة العاطفية — أبرزها"
"26.00","s6","عدّاد الإشغال يصعد إلى 71٪","Number rolling","number rolling stop | counter ui","خفيف"
"26.50","s6","بليبات الرسم البياني (sparkline)","نغمات صاعدة قصيرة","data blips rising | graph pop sequence","تتابع سريع"
"29.30","s6","انقلاب شارة العرض (flip)","Card flip whoosh","card flip whoosh | badge pop","قصيرة"
"30.85","s6 ← s7","ووش انتقال صاعد","Whoosh swipe","whoosh swipe short","تمهيد للمميزات"
"32.70","s7","ظهور الميزة 1","Tick / pop ناعم","ui tick soft | list item pop","خفيف جدًا"
"33.70","s7","ظهور الميزة 2","Tick / pop ناعم","ui tick soft | list item pop","خفيف جدًا"
"34.70","s7","ظهور الميزة 3","Tick / pop ناعم","ui tick soft | list item pop","خفيف جدًا — أبقِ s7 هادئًا"
"36.35","s7 ← s8","ضربة الختام (Punch)","Final impact + outro sting","final impact boom | logo sting outro","duck الموسيقى -4dB ثم أعدها"
"36.70","s8","ظهور الشعار الختامي","Sub boom ناعم","sub boom soft | low hit","يدعم الـImpact"
"39.20","s8","ظهور زر «شغّل ملعبك»","Pop in بارز","pop in button | ui appear bold","واضح"
"39.60","s8","ظهور شارة «زيارة الموقع»","Soft pop","soft pop ui","خفيف"
"40.10","s8","رسم الخط تحت الرابط","Line draw whoosh","line draw whoosh | underline swipe","قصيرة"
"40.50","s8","لمعة الزر (shine)","Shine / glint","shine sparkle sweep | glint shing","تتكرر ~43.7"
"42.10","s8","نقرة المؤشر على الموقع","Mouse click","mouse click single | ui click crisp","تتكرر ~44.1"
"45.00","—","تلاشي الموسيقى","Music outro fade","music fade out | outro tail","Fade out ناعم"
